Sales Person,Industry,Q1 Quota Split,Q2 Quota Split,Q3 Quota Split,Q4 Quota Split,REVENUE SIZE,COMMISSION SPLIT (TCV),COMMISSION SPLIT(ACV)
Oliver MacDuff,Travel,20%,30%,30%,20%,"1,000,000,000",0%,92%
Broderick Gillies,Alcohol,20%,20%,30%,30%,"5,000,000",0%,93%
Broderick Lennox,Financial Services,20%,28%,25%,25%,0,0%,89%
Eilidh Forbes,Security Software,22%,28%,25%,25%,"2,000,000",0%,96%
Adair Lees,Appliances,22%,28%,25%,25%,"1,000,000",0%,88%
Anderson Blackwood,Travel,20%,30%,30%,20%,"100,000,000",0%,89%
Seema Haggan,Technology Services,22%,28%,25%,25%,"100,000,000,000",0%,89%
Amelia Gordon,Security Software,22%,28%,25%,25%,"5,000,000",0%,93%
Seamus Bell,Other,25%,25%,25%,25%,"10,000,000,000",0%,97%
Mairi Acheson,Technology Services,22%,28%,25%,25%,"100,000,000",0%,89%
Ella MacCowan,Biomedical,25%,25%,25%,25%,"50,000,000",0%,91%
Teasag MacLerie,Fishing,30%,30%,20%,20%,"1,000,000",0%,93%
Abhainn Docherty,Pharmaceuticals,25%,25%,25%,25%,"500,000",0%,96%
Mungo Harrower,Agriculture,15%,20%,35%,30%,"2,000,000",0%,90%
Teasag Bran,Fishing,30%,30%,20%,20%,"500,000",0%,94%
Grace Bran,Alcohol,20%,20%,30%,30%,"100,000,000",0%,93%
Macaulay Bathgate,Other,25%,25%,25%,25%,"1,000,000,000",0%,98%
Olivia Docherty,Appliances,22%,28%,25%,25%,"100,000,000,000",0%,96%
Aileen Abernathy,Automotive,20%,25%,30%,25%,"50,000,000",0%,91%
Ailean Cunningham,Education,30%,25%,15%,30%,"10,000,000,000",0%,96%
Seema Haggan,Oil and Gas,25%,25%,25%,25%,"50,000,000",0%,92%
Wallace Barclay,Other,25%,25%,25%,25%,"1,000,000,000",0%,89%
Lili MacLerie,Healthcare,24%,26%,25%,25%,0,0%,90%
Gwendolyn Preston,Technology Hardware,20%,25%,30%,25%,"5,000,000",100%,45%
Vincenzo McFarland,Travel,20%,30%,30%,20%,"100,000,000,000",0%,92%
Annika Graves,Pharmaceuticals,25%,25%,25%,25%,"1,000,000,000",0%,90%
Cesar Waters,Biomedical,25%,25%,25%,25%,"50,000,000",0%,94%
Bristol Weber,Technology Services,22%,28%,25%,25%,"1,000,000,000",0%,93%
Crew Moody,Technology Hardware,20%,25%,30%,25%,"100,000,000",0%,99%
Elaine Strickland,Banking,23%,27%,25%,25%,"1,000,000",0%,97%
Keegan Moran,Biotechnology,24%,26%,25%,25%,"50,000,000",0%,99%
Celeste Howe,Automotive,20%,25%,30%,25%,"100,000,000,000",0%,91%
Alaric O’Neal,Construction,15%,25%,35%,25%,"10,000,000",0%,99%
Treasure English,Construction,15%,25%,35%,25%,"100,000,000",0%,91%
Junior Parker,Oil and Gas,25%,25%,25%,25%,"500,000",0%,91%
Aubrey Baldwin,Technology Services,22%,28%,25%,25%,0,0%,97%
Jaiden Pitts,Construction,15%,25%,35%,25%,"2,000,000",0%,95%
Nala Thompson,Medical Equipment,25%,25%,25%,25%,"10,000,000",0%,97%
Theodore Greer,Agriculture,15%,20%,35%,30%,"1,000,000",0%,97%
Reina Moon,Other,25%,25%,25%,25%,"50,000,000",0%,97%
Nova Kerr,Financial Services,20%,28%,25%,25%,"1,000,000,000",0%,99%
Baylee Christensen,Insurance,25%,30%,20%,25%,"5,000,000",0%,99%
Gregory Leblanc,Oil and Gas,25%,25%,25%,25%,"100,000,000,000",0%,92%
Novalee Burgess,Software,23%,27%,25%,25%,"1,000,000",90%,0%
Kolton Franco,Education,30%,25%,15%,30%,"500,000",0%,92%
Charleigh Schroeder,Financial Services,20%,28%,25%,25%,"1,000,000",0%,96%
Izaiah Gibbs,Security Software,22%,28%,25%,25%,"100,000,000",0%,96%
Carter Clay,Travel,20%,30%,30%,20%,"10,000,000,000",0%,93%
Yosef Hull,Biotechnology,24%,26%,25%,25%,"1,000,000",0%,91%
Andi Parra,Medical Equipment,25%,25%,25%,25%,"10,000,000,000",0%,88%
Davion Harrington,Banking,23%,27%,25%,25%,"1,000,000,000",0%,94%
Legacy Butler,Other,25%,25%,25%,25%,0,0%,96%
Ryder Russo,Technology Hardware,20%,25%,30%,25%,"500,000",94%,0%
Tinsley Hood,Security Hardware,20%,25%,30%,25%,"500,000",0%,90%
Brixton Santana,Construction,15%,25%,35%,25%,"10,000,000,000",0%,100%
Myra Liu,Automotive,20%,25%,30%,25%,"100,000,000,000",0%,97%
Pedro Little,Financial Services,20%,28%,25%,25%,"100,000,000",0%,90%
Harley Henson,Fishing,30%,30%,20%,20%,"100,000,000,000",0%,100%
Bellamy Benson,Financial Services,20%,28%,25%,25%,"5,000,000",0%,96%
Collins Morse,Security Software,22%,28%,25%,25%,"100,000,000,000",0%,95%
Bode Calderon,Medical Equipment,25%,25%,25%,25%,0,0%,91%
Serena Villanueva,Healthcare,24%,26%,25%,25%,"100,000,000,000",0%,91%
Huxley Green,Travel,20%,30%,30%,20%,"10,000,000,000",0%,93%
Zoe Sullivan,Technology Hardware,20%,25%,30%,25%,"10,000,000",0%,95%
Evan Meza,Appliances,22%,28%,25%,25%,"100,000,000,000",0%,90%
Rosa Reilly,Healthcare,24%,26%,25%,25%,"10,000,000",0%,94%
Alvaro Bowman,Security Software,22%,28%,25%,25%,"1,000,000,000",0%,90%
Fiona Beck,Insurance,25%,30%,20%,25%,"1,000,000,000",0%,90%
Eduardo Huynh,Fishing,30%,30%,20%,20%,"50,000,000",0%,100%
Oaklee O’brien,Other,25%,25%,25%,25%,"10,000,000,000",0%,90%
Riley Singh,Mining,24%,26%,25%,25%,"5,000,000",0%,95%
Vivienne Alvarez,Fishing,30%,30%,20%,20%,"1,000,000,000",0%,96%
Xavier Crane,Other,25%,25%,25%,25%,"50,000,000",0%,88%
Della Lopez,Alcohol,20%,20%,30%,30%,"10,000,000",0%,94%
Michael Rios,Technology Hardware,20%,25%,30%,25%,"2,000,000",90%,0%
Brooke Mitchell,Education,30%,25%,15%,30%,"500,000",0%,90%
Jaxon McBride,Healthcare,24%,26%,25%,25%,"5,000,000",0%,96%
Kelsey Wolf,Medical Equipment,25%,25%,25%,25%,"2,000,000",0%,100%
Jase Taylor,Software,23%,27%,25%,25%,"1,000,000",96%,0%
Sofia Bautista,Mining,24%,26%,25%,25%,"2,000,000",0%,94%
Raul Bishop,Financial Services,20%,28%,25%,25%,"100,000,000,000",0%,93%
Brooklynn Zavala,Automotive,20%,25%,30%,25%,"2,000,000",0%,90%
Dillon Friedman,Agriculture,15%,20%,35%,30%,"2,000,000",0%,96%
Aspyn Garcia,Agriculture,15%,20%,35%,30%,"50,000,000",0%,90%
James Graham,Other,25%,25%,25%,25%,"10,000,000",0%,92%
Alaia Ramsey,Security Hardware,20%,25%,30%,25%,0,0%,97%
Luciano Bradshaw,Pharmaceuticals,25%,25%,25%,25%,"50,000,000",0%,93%
Berkley French,Biotechnology,24%,26%,25%,25%,"2,000,000",0%,97%
Corey Durham,Security Hardware,20%,25%,30%,25%,"500,000",0%,90%
Tiffany Pineda,Insurance,25%,30%,20%,25%,"10,000,000",0%,92%
Gerardo Chung,Agriculture,15%,20%,35%,30%,"10,000,000",0%,92%
Rivka Mathews,Technology Services,22%,28%,25%,25%,"2,000,000",0%,95%
Jamir Rogers,Automotive,20%,25%,30%,25%,"2,000,000",0%,100%
Madelyn Spears,Biotechnology,24%,26%,25%,25%,0,0%,90%
Ameer Hughes,Construction,15%,25%,35%,25%,"100,000,000,000",0%,93%
Samantha Norman,Oil and Gas,25%,25%,25%,25%,"500,000",0%,96%
Aziel Lugo,Education,30%,25%,15%,30%,"100,000,000",0%,90%
Kaylie Schaefer,Other,25%,25%,25%,25%,"10,000,000",0%,92%
Ishaan Meyer,Appliances,22%,28%,25%,25%,"50,000,000",0%,99%
Sara Stafford,Technology Hardware,20%,25%,30%,25%,"2,000,000",95%,0%
Alfredo Blevins,Technology Hardware,20%,25%,30%,25%,"500,000",91%,0%
Aila Browning,Alcohol,20%,20%,30%,30%,"10,000,000",0%,100%
Rohan Tucker,Automotive,20%,25%,30%,25%,"2,000,000",0%,96%
Esther Lawrence,Alcohol,20%,20%,30%,30%,"100,000,000,000",0%,99%
Kaleb Valentine,Fishing,30%,30%,20%,20%,0,0%,95%
August Jarvis,Insurance,25%,30%,20%,25%,"50,000,000",0%,88%
Marlon Allison,Security Hardware,20%,25%,30%,25%,"500,000",0%,97%
Chelsea Castillo,Agriculture,15%,20%,35%,30%,"100,000,000,000",0%,88%
Kai Hamilton,Insurance,25%,30%,20%,25%,"1,000,000,000",0%,95%
Mackenzie Lin,Agriculture,15%,20%,35%,30%,"100,000,000",0%,94%
Conor Bernard,Biomedical,25%,25%,25%,25%,"10,000,000,000",0%,96%
Barbara Shepard,Fishing,30%,30%,20%,20%,"100,000,000",0%,89%
Damari Gaines,Appliances,22%,28%,25%,25%,"10,000,000",0%,98%
Aya Kane,Technology Services,22%,28%,25%,25%,"100,000,000",0%,91%
Brock Gomez,Technology Services,22%,28%,25%,25%,"1,000,000,000",0%,99%
Natalie Wiggins,Travel,20%,30%,30%,20%,"5,000,000",0%,92%
Azariah Hahn,Healthcare,24%,26%,25%,25%,"10,000,000",0%,91%
Fallon Church,Other,25%,25%,25%,25%,"1,000,000,000",0%,93%
Terrance Perez,Automotive,20%,25%,30%,25%,"500,000",0%,97%
Eleanor Serrano,Security Hardware,20%,25%,30%,25%,"5,000,000",0%,98%
Milan Abbott,Technology Services,22%,28%,25%,25%,"10,000,000",0%,98%
Melany Nichols,Other,25%,25%,25%,25%,"100,000,000,000",0%,91%
Atlas Greer,Education,30%,25%,15%,30%,"500,000",0%,92%
Reina Phelps,Travel,20%,30%,30%,20%,"10,000,000,000",0%,98%
Hamza Lawson,Insurance,25%,30%,20%,25%,"1,000,000",0%,90%
Phoebe Burton,Automotive,20%,25%,30%,25%,"10,000,000,000",0%,99%
Zander Benson,Automotive,20%,25%,30%,25%,"100,000,000",0%,95%
Collins Byrd,Biotechnology,24%,26%,25%,25%,"50,000,000",0%,90%
Cristian Lester,Other,25%,25%,25%,25%,"500,000",0%,91%
Averi Hawkins,Fishing,30%,30%,20%,20%,"100,000,000",0%,94%
Victor Stout,Pharmaceuticals,25%,25%,25%,25%,"100,000,000",0%,91%
Chana Martin,Travel,20%,30%,30%,20%,"5,000,000",0%,89%
Mateo Lang,Travel,20%,30%,30%,20%,"1,000,000,000",0%,100%
Amirah Stanton,Oil and Gas,25%,25%,25%,25%,"100,000,000,000",0%,98%
Zyair Summers,Medical Equipment,25%,25%,25%,25%,"10,000,000",0%,93%
Frankie Santana,Financial Services,20%,28%,25%,25%,"50,000,000",0%,90%
Mohamed Ochoa,Agriculture,15%,20%,35%,30%,"1,000,000,000",0%,95%
Luciana York,Insurance,25%,30%,20%,25%,"10,000,000,000",0%,93%
Leandro Rosales,Banking,23%,27%,25%,25%,"1,000,000,000",0%,93%
Kinley Cooper,Education,30%,25%,15%,30%,"10,000,000",0%,100%
Jonathan Anderson,Oil and Gas,25%,25%,25%,25%,"10,000,000,000",0%,94%
Ella Ventura,Insurance,25%,30%,20%,25%,"100,000,000",0%,99%
Branson Reed,Healthcare,24%,26%,25%,25%,"10,000,000",0%,94%
Valentina Bradford,Software,23%,27%,25%,25%,"1,000,000",96%,0%
Ander Davis,Biomedical,25%,25%,25%,25%,"1,000,000",0%,90%
Mia Wheeler,Insurance,25%,30%,20%,25%,"100,000,000",0%,98%
Kenneth Wolf,Financial Services,20%,28%,25%,25%,"5,000,000",0%,92%
Jolene Steele,Insurance,25%,30%,20%,25%,"5,000,000",0%,94%
Elian Mahoney,Insurance,25%,30%,20%,25%,"100,000,000,000",0%,94%
Promise Avery,Appliances,22%,28%,25%,25%,"10,000,000,000",0%,93%
Jakari Green,Alcohol,20%,20%,30%,30%,"1,000,000",0%,97%
Zoe Zimmerman,Travel,20%,30%,30%,20%,"100,000,000",0%,95%
Sergio Vang,Fishing,30%,30%,20%,20%,"1,000,000",0%,96%
Madisyn Beil,Biotechnology,24%,26%,25%,25%,"100,000,000",0%,94%
Ariel Griffin,Security Hardware,20%,25%,30%,25%,"1,000,000",0%,92%
Charlie Jordan,Security Hardware,20%,25%,30%,25%,"5,000,000",0%,91%
Sawyer Rodgers,Fishing,30%,30%,20%,20%,"1,000,000",0%,94%
Selah Mathews,Healthcare,24%,26%,25%,25%,"10,000,000,000",0%,99%
Jamir Dorsey,Healthcare,24%,26%,25%,25%,"1,000,000",0%,96%
Addyson Osborne,Agriculture,15%,20%,35%,30%,"500,000",0%,98%
Augustus Christensen,Biotechnology,24%,26%,25%,25%,"2,000,000",0%,94%
Carmen Williamson,Security Software,22%,28%,25%,25%,"1,000,000,000",0%,93%
Emerson Meyer,Mining,24%,26%,25%,25%,"50,000,000",0%,88%
Sara O’brien,Medical Equipment,25%,25%,25%,25%,"2,000,000",0%,94%
Riley Mayo,Mining,24%,26%,25%,25%,"10,000,000",0%,88%
Aarya Briggs,Healthcare,24%,26%,25%,25%,"1,000,000",0%,99%
Case Hancock,Other,25%,25%,25%,25%,"5,000,000",0%,94%
Katelyn Conley,Mining,24%,26%,25%,25%,"10,000,000",0%,92%
Marvin Stuart,Security Hardware,20%,25%,30%,25%,0,0%,89%
Stormi Fitzgerald,Appliances,22%,28%,25%,25%,"50,000,000",0%,91%
Peyton Daugherty,Healthcare,24%,26%,25%,25%,"2,000,000",0%,89%
Magdalena Romero,Software,23%,27%,25%,25%,"1,000,000",98%,0%
Bryson Munoz,Banking,23%,27%,25%,25%,"1,000,000,000",0%,95%
Kehlani Bullock,Travel,20%,30%,30%,20%,"100,000,000",0%,98%
Ben Little,Software,23%,27%,25%,25%,"50,000,000",0%,91%
Harley Delacruz,Healthcare,24%,26%,25%,25%,"500,000",0%,100%
Memphis Browning,Alcohol,20%,20%,30%,30%,"100,000,000,000",0%,98%
Princess Andrews,Medical Equipment,25%,25%,25%,25%,0,0%,96%
Lukas Harmon,Biotechnology,24%,26%,25%,25%,"10,000,000,000",0%,97%
Maren Tyler,Alcohol,20%,20%,30%,30%,"1,000,000,000",0%,96%
Emmitt Torres,Mining,24%,26%,25%,25%,"2,000,000",0%,94%
Violet Yates,Appliances,22%,28%,25%,25%,"100,000,000,000",0%,93%
Braylon Eaton,Technology Hardware,20%,25%,30%,25%,"500,000",94%,0%
Miley Norman,Other,25%,25%,25%,25%,"500,000",0%,92%
Aziel Lewis,Automotive,20%,25%,30%,25%,"50,000,000",0%,96%
Ellie Brady,Travel,20%,30%,30%,20%,"500,000",0%,98%
Reed Murphy,Security Hardware,20%,25%,30%,25%,"1,000,000,000",0%,98%
Bella Madden,Automotive,20%,25%,30%,25%,"100,000,000,000",0%,98%
Everest Trujillo,Technology Hardware,20%,25%,30%,25%,"100,000,000,000",0%,95%
Danielle Casey,Biomedical,25%,25%,25%,25%,"1,000,000,000",0%,91%
Armando Leach,Insurance,25%,30%,20%,25%,"100,000,000,000",0%,89%
Martha Palacios,Education,30%,25%,15%,30%,"1,000,000,000",0%,99%
Thaddeus Flynn,Security Software,22%,28%,25%,25%,"100,000,000,000",0%,93%
Dorothy Morrison,Travel,20%,30%,30%,20%,"10,000,000,000",0%,92%
Maximus Paul,Travel,20%,30%,30%,20%,"1,000,000",0%,99%
Daphne Parrish,Insurance,25%,30%,20%,25%,"1,000,000",0%,95%
Karsyn Wilkerson,Technology Hardware,20%,25%,30%,25%,"1,000,000,000",0%,88%
Janiyah Rocha,Fishing,30%,30%,20%,20%,"10,000,000,000",0%,89%
Onyx Frederick,Construction,15%,25%,35%,25%,"10,000,000",0%,90%
Sariyah Terry,Automotive,20%,25%,30%,25%,"100,000,000",0%,92%
Armani Duffy,Security Software,22%,28%,25%,25%,"10,000,000,000",0%,91%
Addisyn Guevara,Technology Hardware,20%,25%,30%,25%,"100,000,000",0%,96%
Tommy Zamora,Medical Equipment,25%,25%,25%,25%,"1,000,000,000",0%,89%
Sierra Hendrix,Alcohol,20%,20%,30%,30%,0,0%,92%
Korbyn Tanner,Mining,24%,26%,25%,25%,"50,000,000",0%,94%
Harmoni Johnston,Mining,24%,26%,25%,25%,"100,000,000",0%,91%
Felix Johnson,Technology Services,22%,28%,25%,25%,"10,000,000",0%,89%
Emma Briggs,Education,30%,25%,15%,30%,"1,000,000",0%,93%
Case Wise,Insurance,25%,30%,20%,25%,"2,000,000",0%,94%
Mira Hensley,Automotive,20%,25%,30%,25%,0,0%,99%
Layne Foster,Automotive,20%,25%,30%,25%,"1,000,000",0%,93%
Brielle Velez,Agriculture,15%,20%,35%,30%,"500,000",0%,92%
Kareem Hull,Appliances,22%,28%,25%,25%,"50,000,000",0%,99%
Andi Harris,Financial Services,20%,28%,25%,25%,"10,000,000",0%,93%
Samuel Edwards,Pharmaceuticals,25%,25%,25%,25%,"100,000,000,000",0%,91%
Ivy Kemp,Fishing,30%,30%,20%,20%,"500,000",0%,89%
Melvin Wheeler,Travel,20%,30%,30%,20%,"1,000,000",0%,88%
Sydney Jimenez,Financial Services,20%,28%,25%,25%,"10,000,000,000",0%,91%
Silas Knight,Mining,24%,26%,25%,25%,"10,000,000,000",0%,97%
Gracie Mercado,Insurance,25%,30%,20%,25%,"10,000,000,000",0%,96%
Abram Burgess,Software,23%,27%,25%,25%,"1,000,000,000",0%,92%
Emory Lynch,Other,25%,25%,25%,25%,"100,000,000",0%,90%
Zane Beck,Appliances,22%,28%,25%,25%,"50,000,000",0%,91%
Gia Dougherty,Automotive,20%,25%,30%,25%,"10,000,000",0%,90%
Brett Fitzgerald,Security Hardware,20%,25%,30%,25%,"10,000,000,000",0%,93%
Marlee Benson,Insurance,25%,30%,20%,25%,"10,000,000,000",0%,99%
Desmond Walter,Fishing,30%,30%,20%,20%,"10,000,000,000",0%,91%
Penny Crosby,Medical Equipment,25%,25%,25%,25%,"10,000,000,000",0%,88%
Tristen Guevara,Banking,23%,27%,25%,25%,"2,000,000",0%,98%
Teresa Hogan,Software,23%,27%,25%,25%,0,95%,0%
Sonny Castro,Education,30%,25%,15%,30%,"10,000,000,000",0%,90%
Eloise Marshall,Security Software,22%,28%,25%,25%,"100,000,000,000",0%,89%
Kaiden Burns,Security Software,22%,28%,25%,25%,"5,000,000",0%,94%
Emerson Spears,Education,30%,25%,15%,30%,"1,000,000",0%,96%
Ameer Holt,Alcohol,20%,20%,30%,30%,"10,000,000,000",0%,90%
Adelynn Hogan,Agriculture,15%,20%,35%,30%,"1,000,000",0%,95%
Sonny Bush,Banking,23%,27%,25%,25%,"100,000,000,000",0%,93%
Everlee Levy,Alcohol,20%,20%,30%,30%,"1,000,000",0%,99%
Harold Hood,Travel,20%,30%,30%,20%,"1,000,000,000",0%,99%
Briana Medina,Oil and Gas,25%,25%,25%,25%,"50,000,000",0%,89%
George Lambert,Banking,23%,27%,25%,25%,"10,000,000",0%,96%
Nina Rios,Mining,24%,26%,25%,25%,0,0%,97%
Israel Ali,Agriculture,15%,20%,35%,30%,"1,000,000",0%,88%
Zelda Benjamin,Agriculture,15%,20%,35%,30%,0,0%,90%
Kyro Mendez,Construction,15%,25%,35%,25%,"50,000,000",0%,100%
Londyn Summers,Travel,20%,30%,30%,20%,0,0%,98%
Darius Pacheco,Construction,15%,25%,35%,25%,"1,000,000,000",0%,94%
Paris Olson,Medical Equipment,25%,25%,25%,25%,"500,000",0%,95%
Malachi Cardenas,Pharmaceuticals,25%,25%,25%,25%,"10,000,000,000",0%,89%
Raven Potts,Pharmaceuticals,25%,25%,25%,25%,"1,000,000",0%,93%
Alfred Serrano,Biotechnology,24%,26%,25%,25%,"2,000,000",0%,96%
Allie Lynn,Insurance,25%,30%,20%,25%,"2,000,000",0%,95%
Zechariah Russell,Agriculture,15%,20%,35%,30%,"100,000,000",0%,94%
Raelynn Stanton,Technology Hardware,20%,25%,30%,25%,"5,000,000",93%,46%
Zyair Wolf,Pharmaceuticals,25%,25%,25%,25%,"500,000",0%,90%
Jolene Ayers,Security Software,22%,28%,25%,25%,"2,000,000",0%,100%
Ulises Pennington,Travel,20%,30%,30%,20%,"100,000,000,000",0%,98%
Yareli Colon,Technology Services,22%,28%,25%,25%,0,0%,88%
Bruce Randall,Other,25%,25%,25%,25%,"5,000,000",0%,91%
Christina Valenzuela,Agriculture,15%,20%,35%,30%,0,0%,95%
Jamari Turner,Insurance,25%,30%,20%,25%,"500,000",0%,98%
Brooklyn Romero,Alcohol,20%,20%,30%,30%,"2,000,000",0%,99%
Bryson Hickman,Travel,20%,30%,30%,20%,"2,000,000",0%,95%
Scarlette Barrera,Security Software,22%,28%,25%,25%,"50,000,000",0%,92%
Makai Wade,Travel,20%,30%,30%,20%,0,0%,95%
Evie Clayton,Financial Services,20%,28%,25%,25%,"2,000,000",0%,98%
Boston Mayer,Fishing,30%,30%,20%,20%,"100,000,000,000",0%,94%
Ainhoa Le,Other,25%,25%,25%,25%,"50,000,000",0%,89%
Damien Singh,Security Hardware,20%,25%,30%,25%,"50,000,000",0%,88%
Vivienne Armstrong,Technology Services,22%,28%,25%,25%,"100,000,000,000",0%,94%
Grant Haynes,Software,23%,27%,25%,25%,"1,000,000",92%,0%
Lexi Potter,Agriculture,15%,20%,35%,30%,"500,000",0%,97%
Lucca Stevenson,Appliances,22%,28%,25%,25%,"50,000,000",0%,90%
Regina Stewart,Biomedical,25%,25%,25%,25%,"500,000",0%,90%
Nolan Whitney,Technology Services,22%,28%,25%,25%,"5,000,000",0%,100%
Madalynn Pierce,Biotechnology,24%,26%,25%,25%,"100,000,000",0%,95%
Nicolas Huffman,Biotechnology,24%,26%,25%,25%,"500,000",0%,88%
Hayley Garrison,Technology Services,22%,28%,25%,25%,"2,000,000",0%,94%
Noe Riley,Automotive,20%,25%,30%,25%,0,0%,90%
Kayla English,Software,23%,27%,25%,25%,"100,000,000,000",0%,99%
Junior Sierra,Security Software,22%,28%,25%,25%,"50,000,000",0%,89%
Marceline Dawson,Healthcare,24%,26%,25%,25%,"1,000,000,000",0%,88%
Iker Calhoun,Medical Equipment,25%,25%,25%,25%,"2,000,000",0%,99%
Thalia Rhodes,Technology Services,22%,28%,25%,25%,"10,000,000",0%,99%
Titus Hernandez,Travel,20%,30%,30%,20%,"50,000,000",0%,91%
Camila Branch,Healthcare,24%,26%,25%,25%,"5,000,000",0%,93%
Keenan Macdonald,Fishing,30%,30%,20%,20%,"100,000,000,000",0%,92%
Rosalia Wilkerson,Security Hardware,20%,25%,30%,25%,"1,000,000",0%,93%
Carmelo Yates,Security Software,22%,28%,25%,25%,0,0%,97%
Charley Bauer,Agriculture,15%,20%,35%,30%,"1,000,000,000",0%,90%
Kieran Hernandez,Biomedical,25%,25%,25%,25%,"5,000,000",0%,98%
Camila Weber,Construction,15%,25%,35%,25%,"100,000,000,000",0%,91%
Crew Weber,Construction,15%,25%,35%,25%,"100,000,000",0%,93%
Alayah Zavala,Construction,15%,25%,35%,25%,0,0%,97%
Dillon Perkins,Alcohol,20%,20%,30%,30%,"100,000,000,000",0%,88%
Sage Robinson,Agriculture,15%,20%,35%,30%,"100,000,000,000",0%,100%
Matthew Kline,Technology Hardware,20%,25%,30%,25%,"1,000,000",90%,0%
Sevyn Cobb,Software,23%,27%,25%,25%,"5,000,000",90%,46%
Raphael Gilmore,Biomedical,25%,25%,25%,25%,"100,000,000",0%,94%
Chanel Lewis,Security Hardware,20%,25%,30%,25%,"10,000,000,000",0%,89%
Wyatt Person,Oil and Gas,25%,25%,25%,25%,"2,000,000",0%,95%
Dylan Odom,Agriculture,15%,20%,35%,30%,"500,000",0%,94%
Kylian Frye,Alcohol,20%,20%,30%,30%,"50,000,000",0%,90%
Raya Powers,Biomedical,25%,25%,25%,25%,"5,000,000",0%,96%
Sean Cunningham,Education,30%,25%,15%,30%,"2,000,000",0%,88%
Marley Clarke,Alcohol,20%,20%,30%,30%,"100,000,000,000",0%,99%
Stetson Mendez,Security Hardware,20%,25%,30%,25%,"100,000,000,000",0%,100%
Londyn Moses,Appliances,22%,28%,25%,25%,"100,000,000",0%,92%
Niklaus Freeman,Technology Services,22%,28%,25%,25%,"2,000,000",0%,91%
Norah Aguilar,Security Hardware,20%,25%,30%,25%,"1,000,000,000",0%,98%
Milo Rose,Other,25%,25%,25%,25%,"500,000",0%,97%
Magnolia Le,Financial Services,20%,28%,25%,25%,"100,000,000,000",0%,89%
Damien Frank,Automotive,20%,25%,30%,25%,"5,000,000",0%,93%
Dior Austin,Appliances,22%,28%,25%,25%,"50,000,000",0%,91%
Omar Eaton,Security Software,22%,28%,25%,25%,"50,000,000",0%,90%
Miley Blanchard,Security Hardware,20%,25%,30%,25%,"1,000,000",0%,95%
Adler Nixon,Security Hardware,20%,25%,30%,25%,0,0%,93%
Deborah House,Other,25%,25%,25%,25%,"10,000,000",0%,91%
Yehuda Carson,Other,25%,25%,25%,25%,"100,000,000",0%,91%
Nalani Morton,Construction,15%,25%,35%,25%,"50,000,000",0%,92%
Roland Zavala,Security Hardware,20%,25%,30%,25%,"2,000,000",0%,92%
Liv Campbell,Agriculture,15%,20%,35%,30%,"50,000,000",0%,90%
Christopher Small,Financial Services,20%,28%,25%,25%,0,0%,91%
Zaria Turner,Insurance,25%,30%,20%,25%,0,0%,97%
Joshua Hendrix,Agriculture,15%,20%,35%,30%,"10,000,000",0%,91%
Zhuri Rose,Agriculture,15%,20%,35%,30%,"10,000,000,000",0%,98%
Hayden Esparza,Appliances,22%,28%,25%,25%,"2,000,000",0%,92%
Ramona Meyers,Appliances,22%,28%,25%,25%,"100,000,000,000",0%,98%
Julien Avila,Agriculture,15%,20%,35%,30%,"1,000,000,000",0%,90%
Amiyah Quintana,Mining,24%,26%,25%,25%,0,0%,88%
Kelvin Waters,Security Hardware,20%,25%,30%,25%,"5,000,000",0%,96%
Bristol Church,Automotive,20%,25%,30%,25%,"500,000",0%,94%
Terrance Sullivan,Biotechnology,24%,26%,25%,25%,"1,000,000",0%,97%
Melanie Shelton,Banking,23%,27%,25%,25%,"50,000,000",0%,92%
Leonel Tapia,Travel,20%,30%,30%,20%,"500,000",0%,88%
Michaela Stone,Other,25%,25%,25%,25%,"1,000,000,000",0%,91%
Finn Gross,Agriculture,15%,20%,35%,30%,"1,000,000",0%,90%
Angel Pugh,Security Software,22%,28%,25%,25%,"500,000",0%,91%
Judson Buckley,Banking,23%,27%,25%,25%,"100,000,000,000",0%,98%
Theodora Walter,Financial Services,20%,28%,25%,25%,"500,000",0%,94%
Lochlan Knight,Agriculture,15%,20%,35%,30%,"100,000,000",0%,100%
Gracie Lang,Fishing,30%,30%,20%,20%,"10,000,000",0%,91%
Wells Bender,Agriculture,15%,20%,35%,30%,"2,000,000",0%,99%
Lilyana Estes,Mining,24%,26%,25%,25%,"5,000,000",0%,97%
Hakeem Ortega,Software,23%,27%,25%,25%,"100,000,000",0%,97%
Lilah Cummings,Oil and Gas,25%,25%,25%,25%,"1,000,000,000",0%,91%
Raiden Sanford,Insurance,25%,30%,20%,25%,"10,000,000",0%,94%
Emerald Beasley,Appliances,22%,28%,25%,25%,"50,000,000",0%,92%
Stanley McKinney,Insurance,25%,30%,20%,25%,"500,000",0%,95%
Gwendolyn Lindsey,Biotechnology,24%,26%,25%,25%,"10,000,000,000",0%,99%
Jayson Hull,Biomedical,25%,25%,25%,25%,"50,000,000",0%,98%
Andi McMillan,Construction,15%,25%,35%,25%,"10,000,000,000",0%,97%
Rocky Trujillo,Pharmaceuticals,25%,25%,25%,25%,"10,000,000,000",0%,91%
Danielle Tran,Banking,23%,27%,25%,25%,0,0%,99%
Braxton Friedman,Automotive,20%,25%,30%,25%,"1,000,000",0%,92%
Aspyn Pope,Construction,15%,25%,35%,25%,"1,000,000",0%,92%
